type,classification_description,Count
CPXCLASS,Energy Resources and Renewable Energy Issues,24
CPXCLASS,Rare Earth Metals,24
CPXCLASS,Iron,24
CPXCLASS,Specific Variables Control,24
CPXCLASS,Urban Planning and Development,24
EMCLASS,Nuclear Medicine,23
CPXCLASS,Machine Components,23
CPXCLASS,Diesel Engines,23
ASJC,1207,23
CPXCLASS,Bioengineering and Biology,23
CPXCLASS,"Biomechanics, Bionics and Biomimetics",23
ASJC,3605,23
FLXCLASS,LUBRICATION,23
GEOCLASS,Contamination and remediation,23
CPXCLASS,Industrial Engineering,23
CPXCLASS,Oil Fields,23
CPXCLASS,Speech,23
ASJC,2607,22
CPXCLASS,Inventory Control,22
CPXCLASS,Elastomers,22
CPXCLASS,Special Purpose Instruments,22
GEOCLASS,Planning - General,22
CPXCLASS,Fires and Fire Protection,22
CPXCLASS,Seismology,22
CPXCLASS,Natural Fibers,22
CPXCLASS,Petroleum Deposits,22
CPXCLASS,Energy Conversion Issues,22
CPXCLASS,Public Buildings,22
GEOCLASS,Waste Management and Pollution Policy,22
ASJC,3321,21
ASJC,2743,21
CPXCLASS,"Seawater, Tides and Waves",21
CPXCLASS,Masonry Materials,21
CPXCLASS,Conducting Materials,21
GEOCLASS,Animal ecology,21
CPXCLASS,Air Conditioning,21
CPXCLASS,Highway Transportation,21
CPXCLASS,Automobiles,21
ASJC,2809,21
CPXCLASS,Electric Power Distribution,20
GEOCLASS,Pollution,20
CPXCLASS,Radiation Measurements,20
CPXCLASS,Foundry Practice,20
CPXCLASS,Marine Science and Oceanography,20
GEOCLASS,Plant ecology,20
ASJC,3109,20
CPXCLASS,"Aircraft, General",20
GEOCLASS,Regional and general,19
CPXCLASS,Energy Losses (industrial and residential),19
ASJC,3317,19
CPXCLASS,Mechanical Design,19
CPXCLASS,Electroplating,19
CPXCLASS,Computer Hardware,19
ASJC,1302,19
CPXCLASS,Computer Circuits,18
CPXCLASS,Vanadium and Alloys,18
CPXCLASS,Genetic Engineering,18
CPXCLASS,Iron Alloys,18
CPXCLASS,Gems,18
CPXCLASS,Manufacturing,18
CPXCLASS,Urban and Regional Planning and Development,18
CPXCLASS,Lead and Alloys,18
GEOCLASS,Pollution and waste recycling,18
CPXCLASS,Magnetic Materials,17
GEOCLASS,Social Planning,17
CPXCLASS,Petroleum Products,17
CPXCLASS,"Pipe, Piping and Pipelines",17
CPXCLASS,Machining Operations,17
CPXCLASS,Energy Management,17
ASJC,3204,17
CPXCLASS,"Hospitals, Equipment and Supplies",17
CPXCLASS,Energy Policy,17
ASJC,2612,17
ASJC,3206,16
CPXCLASS,Satellites,16
CPXCLASS,Inorganic Polymers,16
CPXCLASS,Tanks,16
ASJC,2911,16
GEOCLASS,Perception,16
ASJC,2902,16
CPXCLASS,Mechanical Devices,16
CPXCLASS,Codes and Standards,16
CPXCLASS,Optical Communication Systems,16
CPXCLASS,Water Supply Systems,16
ASJC,2609,16
CPXCLASS,Protection Methods,16
GEOCLASS,Deformation and strength characteristics,16
ASJC,3302,15
GEOCLASS,Influence of dynamic loads,15
CPXCLASS,Rubber Products,15
CPXCLASS,Materials Handling Equipment,15
CPXCLASS,Reservoirs,15
FLXCLASS,POWER GENERATION AND POWER PLANTS,15
CPXCLASS,Vision,15
ASJC,1211,15
CPXCLASS,Chromium and Alloys,15
ASJC,1204,15
ASJC,2909,15
CPXCLASS,Highway Engineering,15
CPXCLASS,Hydraulic Equipment and Machinery,15
CPXCLASS,Mechanical Transmissions,14
ASJC,2919,14
CPXCLASS,Biomaterials (including synthetics),14
GEOCLASS,Palaeoclimatology,14
CPXCLASS,Television Systems and Equipment,14
CPXCLASS,Natural Gas Deposits,14
CPXCLASS,Bioinformatics,14
ASJC,2905,14
CPXCLASS,Air Pollution,14
CPXCLASS,Flood Control,14
CPXCLASS,"Oceanography, General",14
CPXCLASS,Photographic and Video Equipment,14
CPXCLASS,Food Products Plants and Equipment,14
CPXCLASS,Foundations,14
CPXCLASS,Geology and Geophysics,14
CPXCLASS,"Chemical Engineering, General",13
CPXCLASS,"Environmental Engineering, General",13
CPXCLASS,Expert Systems,13
CPXCLASS,"Civil Engineering, General",13
CPXCLASS,Mechanical Drives and Transmissions,13
GEOCLASS,Underground excavations,13
CPXCLASS,Metal Forming,13
CPXCLASS,Tin and Alloys,13
CPXCLASS,Construction Equipment,13
CPXCLASS,Earthquake Measurements and Analysis,13
CPXCLASS,Bridges,12
GEOCLASS,Environmental Economics,12
CPXCLASS,Printing,12
CPXCLASS,Electric Variables Measurements,12
CPXCLASS,Chemical Apparatus and Plants,12
GEOCLASS,"INDUSTRY, INDUSTRIAL POLICY",12
ASJC,2807,12
CPXCLASS,Superconducting Materials,12
ASJC,2913,12
ASJC,3307,12
CPXCLASS,Cost Accounting,12
CPXCLASS,Fluid Flow,12
GEOCLASS,Foundations and piles,12
CPXCLASS,Optical Instruments,12
GEOCLASS,Diseases,12
CPXCLASS,Lithium and Alloys,12
CPXCLASS,Water Pollution Sources,12
GEOCLASS,Atmospheric pollution,12
ASJC,3102,12
CPXCLASS,Particle Accelerators,12
ASJC,3609,11
CPXCLASS,Papermaking Processes,11
CPXCLASS,Gas Dynamics,11
CPXCLASS,Sewage Treatment,11
CPXCLASS,Geochemistry,11
ASJC,2608,11
CPXCLASS,Food Processing Operations,11
CPXCLASS,Single Element Semiconducting Materials,11
ASJC,1913,11
GEOCLASS,Remote sensing,11
ASJC,3603,11
CPXCLASS,Synthetic and Natural Fibers,11
CPXCLASS,Robot Applications,11
CPXCLASS,Compound Semiconducting Materials,11
CPXCLASS,Energy Resources,11
GEOCLASS,Groundwater quality,11
CPXCLASS,Industrial Furnaces and Components,11
GEOCLASS,Natural Hazards,11
CPXCLASS,Coating Techniques,11
EMCLASS,Forensic Science Abstracts,11
CPXCLASS,Heavy Metal Mines,11
CPXCLASS,Heavy Duty Motor Vehicles,11
CPXCLASS,Information Services,11
CPXCLASS,Prosthetics,10
CPXCLASS,Fuel Combustion,10
CPXCLASS,Energy Management and Conversion,10
CPXCLASS,Energy Conversion,10
CPXCLASS,Pumps,10
CPXCLASS,Ultrasonic Waves,10
CPXCLASS,Electric Networks,10
CPXCLASS,Electric Power Lines and Equipment,10
CPXCLASS,Control System Applications,10
CPXCLASS,Brick Materials,10
CPXCLASS,Coastal Engineering,10
CPXCLASS,Telecommunication,10
CPXCLASS,Electric Filters,10
GEOCLASS,Marine ecology,10
ASJC,1903,10
GEOCLASS,HAZARDS AND DISASTER PLANNING,10
GEOCLASS,Tunnels,10
GEOCLASS,Political,10
GEOCLASS,Fisheries and aquatic resources,10
GEOCLASS,Water Resources,10
ASJC,2806,10
GEOCLASS,"Runoff, streamflow and basins",10
CPXCLASS,"Minor, Precious and Rare Earth Metals and Alloys",10
CPXCLASS,"Electronic Equipment, Radar, Radio and Television",9
CPXCLASS,Electromagnetic Waves in Relation to Various Structures,9
CPXCLASS,Tungsten and Alloys,9
GEOCLASS,Transport and Communicatons,9
CPXCLASS,Value Engineering,9
CPXCLASS,Refrigeration Equipment and Components,9
CPXCLASS,Concrete Reinforcements,9
GEOCLASS,National and Local Planning,9
GEOCLASS,Slopes,9
CPXCLASS,Human Engineering,9
CPXCLASS,Rail Transportation,9
CPXCLASS,"Wind Power (Before 1993, use code 611)",9
CPXCLASS,"Radioactive Materials, General",9
GEOCLASS,Sediments and sedimentary processes - transport,9
CPXCLASS,Energy Losses/Dissipation,9
ASJC,3600,9
CPXCLASS,Liquid Dynamics,9
CPXCLASS,Rolling Mill Practice,9
CPXCLASS,Strength of Building Materials,9
CPXCLASS,Manganese and Alloys,9
CPXCLASS,Food Technology,9
GEOCLASS,Engineering seismology,9
CPXCLASS,Magnesium and Alloys,9
CPXCLASS,Acoustic Waves,9
CPXCLASS,Amorphous Solids,9
CPXCLASS,Sewage and Industrial Wastes Treatment,9
ASJC,2901,9
CPXCLASS,Small Marine Craft,9
ASJC,3319,9
GEOCLASS,Evolution and Speciation,9
GEOCLASS,Capital and Investments,9
CPXCLASS,Information Dissemination,9
CPXCLASS,Radioactive Materials,8
CPXCLASS,Electric and Electronic Instruments,8
ASJC,2601,8
ASJC,1504,8
CPXCLASS,Textile Products and Processing,8
GEOCLASS,TRANSPORT AND COMMUNICATIONS,8
GEOCLASS,Water resources development - general,8
CPXCLASS,Safety Engineering,8
CPXCLASS,Information Science,8
CPXCLASS,Hydroelectric Power Plants,8
GEOCLASS,Vertebrates,8
CPXCLASS,Temperature Measuring Instruments,8
CPXCLASS,Electronic Structure of Solids,8
GEOCLASS,Applied sedimentology,8
GEOCLASS,Agriculture,8
CPXCLASS,Other Electronic Circuits,8
CPXCLASS,Photographic Equipment,8
GEOCLASS,Hydrocarbons,8
CPXCLASS,Nuclear Reactors,8
GEOCLASS,Earthquakes,8
CPXCLASS,"Mortar (Before 1993, use code 412)",8
CPXCLASS,Highway Systems,8
FLXCLASS,VESSELS AND MARINE ENGINEERING,8
GEOCLASS,Arable,8
CPXCLASS,Polymers and Polymer Science,8
CPXCLASS,"Air Transportation, General",8
CPXCLASS,Air Transportation,7
CPXCLASS,Photography,7
CPXCLASS,Agricultural Chemicals,7
ASJC,2914,7
GEOCLASS,Evaporation and transpiration,7
CPXCLASS,Rubber and Elastomer Processing,7
CPXCLASS,Sewage,7
CPXCLASS,Electricity and Magnetism,7
CPXCLASS,Laser Applications,7
CPXCLASS,Cryogenics,7
CPXCLASS,Amplifiers,7
CPXCLASS,Acoustical and Optical Measuring Instruments,7
