type,classification_description
CPXCLASS,Packaging Materials
GEOCLASS,Palaeoclimatology
GEOCLASS,Palaeoecology and palaeobiogeography
GEOCLASS,Palaeogeography and palaeoclimatology
GEOCLASS,Palaeomagnetism
GEOCLASS,Palaeozoic
CPXCLASS,Papermaking Equipment
CPXCLASS,Papermaking Processes
GEOCLASS,Participation and Decision-Making
CPXCLASS,Particle Accelerators
CPXCLASS,Passenger Highway Transportation
CPXCLASS,Passenger Railroad Transportation
EMCLASS,Pediatrics and Pediatric Surgery
GEOCLASS,Perception
GEOCLASS,"Permeability, porosity and capillarity"
CPXCLASS,Personnel
GEOCLASS,"Pest, disease and weed control"
GEOCLASS,Pests
CPXCLASS,Petroleum Deposits
CPXCLASS,Petroleum Products
CPXCLASS,Petroleum Refineries
ENCOMPASSCLASS,Petroleum Refining and Petrochemicals
CPXCLASS,"Petroleum Refining, General"
ENCOMPASSCLASS,Petroleum Substitutes
CPXCLASS,Petroleum and Related Deposits
CPXCLASS,"Petrology (Before 1993, use code 482)"
EMCLASS,Pharmacy
CPXCLASS,Photographic Equipment
CPXCLASS,Photographic and Video Equipment
CPXCLASS,Photography
CPXCLASS,Physical Chemistry
CPXCLASS,"Physical Properties of Gases, Liquids and Solids"
GEOCLASS,Physical properties
GEOCLASS,Physico-chemical properties
EMCLASS,Physiology
CPXCLASS,Pipe Accessories
CPXCLASS,"Pipe, Piping and Pipelines"
GEOCLASS,Planktonic ecosystems
GEOCLASS,Planning - General
GEOCLASS,Plant ecology
CPXCLASS,Plasma Physics
CPXCLASS,Plastics Processing
CPXCLASS,Plastics Products
GEOCLASS,Plate tectonics
CPXCLASS,Pneumatics
GEOCLASS,Policy
GEOCLASS,Political
GEOCLASS,Political systems and political change
GEOCLASS,Pollination and seed dispersal
GEOCLASS,Pollutant transport
GEOCLASS,Pollution
GEOCLASS,Pollution and waste management - non-radioactive
GEOCLASS,Pollution and waste management - radioactive
GEOCLASS,Pollution and waste recycling
GEOCLASS,Pollution control and remediation
CPXCLASS,Polymer Applications
CPXCLASS,Polymer Products
CPXCLASS,Polymeric Materials
CPXCLASS,Polymerization
CPXCLASS,Polymers and Polymer Science
GEOCLASS,Population Genetics
CPXCLASS,Precious Metals
CPXCLASS,Precipitation
GEOCLASS,Precipitation assessment
GEOCLASS,Precipitation quality
CPXCLASS,Pressure Measurements
CPXCLASS,Pressure Measuring Instruments
CPXCLASS,Primary Batteries
CPXCLASS,Printing
CPXCLASS,Printing Equipment
CPXCLASS,Printing and Reprography
CPXCLASS,Probability Theory
CPXCLASS,Process Heating
CPXCLASS,Processing Agents
CPXCLASS,Processing of Plastics and Other Polymers
CPXCLASS,Product Development
CPXCLASS,Production Control
CPXCLASS,Production Engineering
CPXCLASS,Production Planning and Control
GEOCLASS,Properties of minerals
CPXCLASS,Prosthetics
GEOCLASS,"Protected areas, wildlife conservation"
CPXCLASS,Protection Methods
EMCLASS,Psychiatry
CPXCLASS,Public Buildings
EMCLASS,"Public Health, Social Medicine and Epidemiology"
CPXCLASS,Pulp and Paper
CPXCLASS,Pulse Circuits
CPXCLASS,Pumps
CPXCLASS,Quality Assurance and Control
CPXCLASS,Quantum Theory
