classification_description,Count
3616,4
Mechanical Drives,4
Tunnels and Tunneling,4
Metal Cutting,4
Nuclear Physics,4
URBANISATION AND URBAN PLANNING,4
Acoustic Properties of Materials,4
CULTURE AND DEVELOPMENT,4
Biological and integrated control,4
Benthic and hydrothermal communities,4
Methods and management,4
Migration,4
Base courses and pavements,4
Military Aircraft,4
"Mines and Mining, Coal",4
Applied seismology,4
Welding Processes,4
Airports,4
The Holocene,4
Political systems and political change,4
Marine and coastal environment,4
"Coasts, reefs and atolls",4
Compressors,4
Oil Field Chemicals,4
Oil Field Equipment,4
Structural geology and tectonics,4
Marketing,4
Water Treatment Techniques for Industrial Use,3
Fisheries,3
Forestry,3
3502,3
Freshwater ecology,3
WOMEN AND GENDER ISSUES,3
Global and Regional Planning,3
"Coatings, Finishes and Thin Film Deposition",3
Tantalum and Alloys,3
GEOCHRONOLOGY,3
2922,3
Radioisotopes,3
"Waterway Transportation, General",3
Space Heating and Air Conditioning,3
Population Genetics,3
Geophysical Prospecting,3
"Conflict, protest, human rights",3
Geothermal Energy,3
Coastal protection,3
DC Motors,3
Agricultural Machinery and Equipment,3
"Railroad Plant and Structures, General",3
Telephone Systems and Related Technologies,3
Secondary,3
Earthquake mechanisms and effects,3
Effects of pollution and environmental disturbance,3
Tidal and estuarine ecology,3
Acoustic Devices,3
Rubber Applications,3
Dynamic properties,3
Control Devices,3
Synthetic Rubber,3
"Social, economic and political aspects of rural change",3
Coastal landforms,3
Refrigeration Methods,3
Refractories,3
Reef communities,3
Adaptation,3
Biota,3
Aerosols,3
Sediment geochemistry,3
Turbines and Steam Turbines,3
Molybdenum and Alloys,3
Lubricants,3
Operations Research,3
Passenger Highway Transportation,3
2903,3
"Internal Combustion Engines, General",3
1905,3
"PRIVATE INVESTMENT FLOWS, MULTINATIONALS",3
Pollination and seed dispersal,3
Petroleum and Related Deposits,3
"Lasers, General",3
"Machine Tools, General",3
"Macroalgal, seagrass and mangrove communities",3
Magnetohydrodynamic (MHD) Power Generation,3
Igneous petrology and processes,3
Mines and Quarry Equipment and Operations,3
Gravitation and Relativity,3
Mineralogy,3
Dams and embankments,2
"Small Tools, Unpowered",2
Social Geography - General,2
Deformation mechanisms and processes,2
NONGOVERNMENTAL ORGANISATIONS AND PEOPLE'S PARTICIPATION,2
Socioeconomic Indicators,2
Agricultural research and extension,2
Oscillators,2
Soil studies,2
Asphalt,2
"LABOUR AND MANAGEMENT, EMPLOYMENT POLICY",2
Crop and livestock production - general,2
Water resources and management,2
